img_id,absolute_clarity-vs-relative_clarity,closed_form-vs-open_form,linear_style-vs-painterly_style,multiplicity-vs-unity,planar_style-vs-recessional_style
img_01001.png,2.2,3.4,4.8,3.2,2.2
img_01002.png,3.8,3,4.2,2.8,3.4
img_01003.png,4.4,4,4,3.6,3.8
img_01004.png,4.4,4.2,4.4,3.2,4
img_01005.png,1.8,3.4,4.2,3.4,1.6
img_01006.png,4.8,3.6,4.6,4.2,4.2
img_01007.png,3.4,3,4.8,4.2,4
img_01008.png,5,4,4.2,2.8,3.2
img_01009.png,4.2,3.6,5,3.2,2.8
img_01010.png,4.4,3,4.4,3.6,3
img_01011.png,4.8,4,4,4.4,4.6
img_01012.png,4.2,3.8,4,4.4,2.6
img_01013.png,4.6,4,4,3.2,2.4
img_01014.png,3.6,4,4.8,4.6,4
img_01015.png,3.4,3.8,3.6,3.6,3
img_01016.png,4.2,4.4,4.6,4,4.2
img_01017.png,3.4,2.8,3.2,2,2.4
img_01018.png,4.2,3.6,4.4,3.8,5
img_01019.png,4.6,4,4.2,2.8,2.8
img_01020.png,2.6,3,4.2,2.8,3.2
img_01021.png,3.6,4,4.4,3.4,3.2
img_01022.png,3.2,3.2,3.2,3.2,3
img_01023.png,4.2,3.6,4.6,3,4
img_01024.png,5,3,2.6,3.4,2.6
img_01025.png,3.8,3.8,4.4,4.2,3.2
img_01026.png,4,4.4,4.4,4,3.6
img_01027.png,4.2,3.2,4.4,3.4,2.2
img_01028.png,3.6,4.2,4.4,4,4.8
img_01029.png,4.4,4.2,5,3.6,3.6
img_01030.png,4,3,3,3,1.8
img_01031.png,4.6,3.2,3.6,3.6,2.4
img_01032.png,3.8,4.4,4.2,3.8,3.6
img_01033.png,4,3.8,4.2,4.4,4.2
img_01034.png,5,4,4.8,3.8,2.6
img_01035.png,4.2,4,4.2,2.8,1.6
img_01036.png,2.6,2.4,4.2,2,2.6
img_01037.png,2.6,2.2,4,2.6,3.4
img_01038.png,3.6,4,3.2,3.6,2.6
img_01039.png,4.4,3.6,4.2,3.2,3.4
img_01040.png,4,3.4,5,3.2,4.4
img_01041.png,4,3.8,5,4.6,4.2
img_01042.png,3.6,3,3.2,3.2,2
img_01043.png,4.6,4.2,4,3.2,3.2
img_01044.png,3.2,3,4.2,3.8,3.2
img_01045.png,4.2,3.2,4.4,3.2,3.4
img_01046.png,2,3.6,4.6,4.2,3.6
img_01047.png,3.8,3.2,4,2.6,2.4
img_01048.png,3.2,3.6,4.2,2.4,4.2
img_01049.png,3.2,2.8,4.6,3.8,2.6
img_01050.png,4.6,3.8,4.8,3.8,2.8
img_01051.png,4,3.8,4.6,3.4,3.2
img_01052.png,4.2,3.6,4.2,3.2,3.6
img_01053.png,1.4,3.4,3.8,2.6,2
img_01054.png,3.8,3.6,4.2,2.8,4.4
img_01055.png,4.2,4,4,4.2,3.2
img_01056.png,3,3.4,2.4,2.4,1.4
img_01057.png,3.8,3,4.2,1.6,3.2
img_01058.png,2.4,3.6,3.4,1.6,2.8
img_01059.png,4,3.6,3.8,3.8,2.2
img_01060.png,4.6,3.2,4.8,4.4,2.6
img_01061.png,3.8,3.8,4.4,4.4,3.6
img_01062.png,3.2,4.6,4.8,4.4,3
img_01063.png,3.8,4,4.2,3,3.6
img_01064.png,3.2,4.2,4.8,3.2,3.8
img_01065.png,3.6,2.8,3.8,2.6,2.2
img_01066.png,3.6,3.2,3.4,3,1.8
img_01067.png,4.4,2.6,4,3.4,2.4
img_01068.png,4,2.4,4.6,3.6,2.2
img_01069.png,4,3.8,4.8,3.8,4
img_01070.png,4,3.6,4.6,3.4,3.6
img_01071.png,2.6,3,3.8,3.6,2.8
img_01072.png,4.4,4.2,5,4,3.6
img_01073.png,4.2,3.2,3.6,3.8,2.6
img_01074.png,3.4,4,4.8,4,3.6
img_01075.png,4.4,4,4.8,3.4,2
img_01076.png,2.8,3.8,3.8,2.8,3.6
img_01077.png,3.4,2.6,2.6,2.8,3
img_01078.png,4.6,4,4.2,3,3.8
img_01079.png,4.4,3.6,4.2,3.8,2.8
img_01080.png,3,2.2,4.4,4.2,2.4
img_01081.png,4,3,4,3.4,1.8
img_01082.png,4.8,4.2,4.2,4,3.6
img_01083.png,4.2,3.6,5,3.4,3.4
img_01084.png,4.8,3.6,4.6,2.6,4.6
img_01085.png,3.8,4,4,2.8,4.2
img_01086.png,3.8,2.6,3.8,3.6,4
img_01087.png,4.2,3.8,4.2,4.6,2.4
img_01088.png,3.2,3,3.8,2.4,2
img_01089.png,3.8,3.6,3.8,3.4,2.6
img_01090.png,4.6,3.4,4.2,3.6,3.2
img_01091.png,4.2,3.2,4.6,2.8,2.6
img_01092.png,3.4,3.4,4.8,3.2,4.4
img_01093.png,4.2,3.8,4.2,2.2,4.4
img_01094.png,3.8,4.4,4.8,3,3.8
img_01095.png,4.2,4,3.8,3.8,3.4
img_01096.png,4,2.4,3.4,3.2,2.8
img_01097.png,3.8,2,3.8,4,1.8
img_01098.png,3.6,3.2,4.4,4,3.4
img_01099.png,3.2,3.2,3,3.4,1.6
img_01100.png,3.8,3.4,3.2,3.6,1.8
img_01101.png,4.8,4.2,4.6,3.4,3.4
img_01102.png,2.8,4.2,4.8,3.8,3.4
img_01103.png,4.4,3.4,4.6,3.8,3.8
img_01104.png,4.2,4,4.6,4,3.4
img_01105.png,3,3.8,4.8,4.2,4.6
img_01106.png,4.4,3.6,3.4,3.8,3
img_01107.png,4.2,3,4.6,4.2,2.4
img_01108.png,4,3.8,4.2,4,3.8
img_01109.png,4.4,3.8,4.4,3.8,4
img_01110.png,4.6,3.4,4.6,3.6,2.6
img_01111.png,4.6,3.2,5,4,3.4
img_01112.png,3.8,3,3.4,3.4,4.4
img_01113.png,2.2,2.4,3.6,2.6,3.6
img_01114.png,4,3,3.8,3.6,3.6
img_01115.png,3.4,3,3.6,4,2.4
img_01116.png,4.6,4.2,4.2,3.4,3.6
img_01117.png,3,4,4,3.4,4.2
img_01118.png,4.8,3.8,4.4,3,3.2
img_01119.png,4.4,2.8,4.8,2.8,2.4
img_01120.png,4.4,3.2,4.8,3.6,2.8
img_01121.png,4.2,3.2,4,2.6,3
img_01122.png,3.8,4.2,4.2,3,3.2
img_01123.png,4,3.8,4,3,2.8
img_01124.png,4.4,3,3.8,4.2,2.6
img_01125.png,4,3.8,4.4,4,2.8
img_01126.png,4.4,3.6,4.2,3.4,3.4
img_01127.png,4,4,4.2,3.2,4.2
img_01128.png,2,3.8,3.4,2.2,2.4
img_01129.png,4.6,3.4,4.2,3.2,3
img_01130.png,3,3.2,4,2.8,3.6
img_01131.png,3.8,3,3.4,2.6,3
img_01132.png,4,3.2,4.4,3,3.8
img_01133.png,3.8,3.6,3.6,3.8,4.2
img_01134.png,3.6,4,4.6,3.8,4
img_01135.png,4.2,3.8,4.8,3,2.6
img_01136.png,4.6,3.2,4.6,3.8,3.6
img_01137.png,3.4,3.4,4.4,2.6,2.8
img_01138.png,4.6,3.6,4,3.8,3.2
img_01139.png,2.8,3.2,3.8,3.4,3
img_01140.png,3.4,2.6,3.6,4,2.2
img_01141.png,2.8,2.6,4.2,3,2.4
img_01142.png,4.6,4,4,4,3
img_01143.png,4.4,3.8,4.8,4,2.6
img_01144.png,4.4,4.4,4.8,3,3.4
img_01145.png,4,3.4,4,2.6,3.2
img_01146.png,4.2,3.2,4.2,4,3
img_01147.png,3.8,3.8,3.6,3.4,3.8
img_01148.png,3.4,2.8,2.4,4.2,1.8
img_01149.png,4.4,3.8,4.2,3.6,3.2
img_01150.png,4.4,3.2,4.6,4.4,2.8
img_01151.png,4.4,3,3.6,4,3.6
img_01152.png,4.6,3.4,4.2,3.8,3.2
img_01153.png,3.8,3.2,4.4,3,2.4
img_01154.png,4.2,4.6,4.4,3.6,3.6
img_01155.png,3.4,4,3.6,3.2,3.2
img_01156.png,4.8,4.2,4.6,2.6,3.2
img_01157.png,4.2,3.2,4.6,4.8,3.2
img_01158.png,4.4,3.6,4.2,3.6,2.2
img_01159.png,4,3.6,3.2,2.8,3.2
img_01160.png,4,3,4.2,2.8,3.4
img_01161.png,3.8,3,3,4.2,1.8
img_01162.png,4,3.8,4,4.6,3
img_01163.png,3,3.2,4.8,3.2,2.2
img_01164.png,4.2,3.6,5,3.4,3.4
img_01165.png,4.2,2.8,3.6,3,1.6
img_01166.png,4,4,4.4,2.6,3.8
img_01167.png,3.4,4.2,4.2,2.8,2.4
img_01168.png,4.4,3.6,3.6,3.4,2.6
img_01169.png,3,3,4.4,3,2.6
img_01170.png,4.2,3.6,4,3.2,3.2
img_01171.png,4.4,4,4.6,4.6,3.6
img_01172.png,3.4,4.2,4.4,3,3.4
img_01173.png,4.2,4,4.6,3.6,3.6
img_01174.png,4.6,3,4.4,3.6,3.6
img_01175.png,3.4,2.6,4,3.8,2.8
img_01176.png,3.8,3.8,4.6,3.2,3.4
img_01177.png,2.6,3.4,2.6,2.2,2.2
img_01178.png,4.2,3,4.2,3.6,4
img_01179.png,4.8,3.8,5,3,3.6
img_01180.png,3,4.2,4.6,3.4,2.6
img_01181.png,3.8,3.4,4.2,4,3.6
img_01182.png,3.4,3.6,4.4,3.2,3.4
img_01183.png,4.8,4.4,5,4,2.8
img_01184.png,4.2,3,3.8,4.4,2.2
img_01185.png,4.2,4.4,4.4,3.8,3.6
img_01186.png,4.6,4.6,4.6,4.2,3.4
img_01187.png,4.6,4.2,3.8,4.6,3.8
img_01188.png,3.8,3.8,3.8,3.4,4.6
img_01189.png,4.2,4,4.8,3.2,3
img_01190.png,3.4,4.4,4.6,3.2,3.6
img_01191.png,3.2,3.8,4.6,3.4,2
img_01192.png,4,3.2,4.2,3.4,4.2
img_01193.png,4.2,4.2,4.6,4.2,4.2
img_01194.png,4.4,4.2,4.8,2.8,2.2
img_01195.png,4.2,4.4,4.6,3.4,2.8
img_01196.png,3,3.4,3.4,3,3.2
img_01197.png,2.2,3.4,3.6,2.2,2.8
img_01198.png,4.8,3.4,4.8,2.6,2.6
img_01199.png,3.8,4.2,4,3.2,3.4
img_01200.png,4.2,3.6,4.8,4.2,2.4
img_01201.png,3.8,3.4,4.8,3.6,2.8
img_01202.png,1.6,3.4,3.2,3.6,2.2
img_01203.png,4.2,3.8,4.8,4,3.6
img_01204.png,3.2,4,4.2,3.4,4.6
img_01205.png,4,3.4,4.8,3,3
img_01206.png,3.6,3,3.4,4.2,3.4
img_01207.png,3.8,2.8,4.6,3,4.4
img_01208.png,3.8,4.6,4.4,3.2,4
img_01209.png,3.2,3.4,5,3.6,2
img_01210.png,4,3.4,4.4,3.4,4.6
img_01211.png,4.4,3.4,3.6,2,3.6
img_01212.png,4.6,4,3.8,3.6,2.6
img_01213.png,4.2,4.4,3,3.6,3.4
img_01214.png,2,3.6,4.8,3.8,3.6
img_01215.png,3.4,3,3,3,2.8
img_01216.png,2.8,3,4.8,2.8,2.6
img_01217.png,4.4,4.4,4,3.8,3.6
img_01218.png,4.8,1.6,3.8,3.6,3.2
